,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,prev_minutes_per_match_1,prev_full_matches_played_1,prev_xg_performance_1,prev_npxg_performance_1,prev_xg_per_shot_1,prev_penalty_taker_1,prev_goals_per_90_1,prev_assists_per_90_1,prev_ga_per_90_1,prev_xg_per_90_1,prev_xa_per_90_1,prev_goals_1,prev_goals_2,main_pos,position_1,position_2,position_3,position_4
1087,ENG-Premier League,2223,Wolverhampton Wanderers,raúl jiménez,1,2022,229,4105,F S,15,842,0,2.711337735876441,0,2.711337735876441,1,1.5050795823335648,20,9,0,0,4.212750431150198,1.0135074984282255,10.0,0.0,77.97058823529412,29.455555555555556,-1.0713795982301235,-1.3102115727961063,0.12405929119701971,1.0,0.2036967182195398,0.13579781214635986,0.33949453036589966,0.240069469574014,0.11522506408657568,6,0,3,0,0,1,0
1364,ENG-Premier League,2324,Fulham,raúl jiménez,1,2023,228,4105,F S,24,1423,7,5.9900733437389135,7,5.9900733437389135,0,1.6923745833337307,41,11,3,1,7.9016893692314625,1.7369755171239376,10.0,0.0,56.13333333333333,9.355555555555556,-2.711337735876441,-2.711337735876441,0.13556688679382206,0.0,0.0,0.10688836104513064,0.10688836104513064,0.28981044682764806,0.1608754897981245,0,6,3,0,0,1,0
1901,ENG-Premier League,2425,Fulham,raúl jiménez,1,2024,228,4105,F S,38,2531,12,14.405358291231096,9,12.121851704083383,3,4.079181319102645,96,25,4,0,17.43132229242474,5.398588978685439,14.0,0.0,59.291666666666664,15.811111111111112,1.0099266562610865,1.0099266562610865,0.14609934984729056,0.0,0.44272663387210115,0.0,0.44272663387210115,0.3788521440172187,0.10703704321857749,7,0,3,0,0,1,0
2439,ENG-Premier League,2526,Fulham,raúl jiménez,1,2025,228,4105,F S,10,448,1,1.765035629272461,1,1.765035629272461,1,0.4904111921787262,14,3,0,0,2.2061369344592094,0.27968066558241844,9.0,0.0,66.60526315789474,28.122222222222224,-2.405358291231096,-3.121851704083383,0.15005581553365724,1.0,0.4267088107467404,0.1066772026866851,0.5333860134334255,0.5122411087359932,0.14505188412455078,12,7,3,0,0,1,0
1422,ENG-Premier League,2324,Luton,reece burke,1,2023,256,1771,D S,22,1691,0,2.1644996237009764,0,2.1644996237009764,4,2.3214404489845037,13,13,5,0,4.144421625882387,3.8680728431791067,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
153,ENG-Premier League,2122,Chelsea,reece james,1,2021,80,8067,D M S,26,1866,5,2.543486515060067,5,2.543486515060067,9,7.030302457511425,37,48,4,1,15.98188834823668,11.94055711850524,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
699,ENG-Premier League,2223,Chelsea,reece james,1,2022,80,8067,D M S,16,1242,1,1.0140665946528316,1,1.0140665946528316,1,3.066504817456007,16,21,4,0,5.8419587938115,4.731684633530676,3.0,1.0,71.76923076923077,20.733333333333334,2.456513484939933,2.456513484939933,0.06874287878540722,0.0,0.24115755627009644,0.4340836012861736,0.67524115755627,0.12267619847556593,0.33908211209862177,5,0,2,0,1,0,0
1293,ENG-Premier League,2324,Chelsea,reece james,1,2023,80,8067,D S,10,422,0,0.3389957156032324,0,0.3389957156032324,2,2.679515279829502,7,11,0,2,3.0341393500566483,1.8427834287285805,12.0,0.0,77.625,13.8,-0.014066594652831554,-0.014066594652831554,0.06337916216580197,0.0,0.07246376811594203,0.07246376811594203,0.14492753623188406,0.07348308656904576,0.22221049401855122,1,5,1,1,0,0,0
1822,ENG-Premier League,2425,Chelsea,reece james,1,2024,80,8067,D M S,19,1062,1,0.5808683261275291,1,0.5808683261275291,1,1.3240125216543674,11,11,1,0,3.869105190038681,3.5282998234033585,6.0,1.0,42.2,4.688888888888889,-0.3389957156032324,-0.3389957156032324,0.04842795937189034,0.0,0.0,0.42654028436018954,0.42654028436018954,0.07229766446514434,0.5714606047029743,0,1,2,0,1,0,0
2378,ENG-Premier League,2526,Chelsea,reece james,1,2025,80,8067,D M S,11,690,1,0.7137596812099218,1,0.7137596812099218,2,2.2439171001315117,9,13,2,0,4.849692892283201,3.428212609142065,6.0,1.0,55.89473684210526,11.8,0.41913167387247086,0.41913167387247086,0.052806211466139015,0.0,0.0847457627118644,0.0847457627118644,0.1694915254237288,0.04922612933284145,0.11220445098765826,1,0,2,0,1,0,0
