,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,lagged_mpm_1,lagged_fmp_1,lagged_xg_perf_1,lagged_npxg_perf_1,lagged_xg_per_shot_1,lagged_penalty_taker_1,lagged_g90_1,lagged_a90_1,lagged_ga90_1,lagged_xg90_1,lagged_xa90_1,lagged_goals_1,lagged_mpm_2,lagged_fmp_2,lagged_xg_perf_2,lagged_npxg_perf_2,lagged_xg_per_shot_2,lagged_penalty_taker_2,lagged_g90_2,lagged_a90_2,lagged_ga90_2,lagged_xg90_2,lagged_xa90_2,lagged_goals_2,main_pos,position_1,position_2,position_3,position_4
763,ENG-Premier League,2021,Leicester,kelechi iheanacho,1,2020,75,620,F S,25,1452,12.0,9.048603574745357,12,8.287429581396282,2,3.5340976137667894,59,28,1,0,13.961564272642136,3.4299194402992725,5.0,1.0,48.8,10.844444444444445,-0.901271965354681,-0.901271965354681,0.16392422125985226,0.0,0.4610655737704918,0.2766393442622951,0.7377049180327868,0.5441746689363948,0.23870755467930288,5.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,3,0,0,1,0
1299,ENG-Premier League,2122,Leicester,kelechi iheanacho,1,2021,75,620,F S,26,1236,4.0,3.6333328122273088,4,3.6333328122273088,5,2.7090907525271177,31,17,1,0,7.717554868198931,1.7873298982158303,5.0,1.0,58.08,16.133333333333333,2.951396425254643,3.7125704186037183,0.1533661622838196,1.0,0.7438016528925621,0.12396694214876033,0.8677685950413224,0.5608638579387618,0.21905563721694976,12.0,48.8,10.844444444444445,-0.901271965354681,-0.901271965354681,0.16392422125985226,0.0,0.4610655737704918,0.2766393442622951,0.7377049180327868,0.5441746689363948,0.23870755467930288,5.0,3,0,0,1,0
1865,ENG-Premier League,2223,Leicester,kelechi iheanacho,1,2022,75,620,F M S,28,1120,5.0,6.133550511673093,4,5.372381644323468,5,3.7054135501384735,39,22,0,0,9.021692022681236,1.8175414633005857,8.0,0.0,47.53846153846154,13.733333333333333,0.36666718777269125,0.36666718777269125,0.11720428426539706,0.0,0.29126213592233013,0.3640776699029126,0.6553398058252428,0.2645630688515031,0.19726388974712022,4.0,58.08,16.133333333333333,2.951396425254643,3.7125704186037183,0.1533661622838196,1.0,0.7438016528925621,0.12396694214876033,0.8677685950413224,0.5608638579387618,0.21905563721694976,12.0,3,0,0,1,0
322,ENG-Premier League,1920,Newcastle United,kelland watts,1,2019,86,7602,S,1,12,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,13.0,0.0,2.0,0.03333333333333333,-0.046092672273516655,-0.046092672273516655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03333333333333333,-0.046092672273516655,-0.046092672273516655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,1
1514,ENG-Premier League,2122,Watford,ken sema,1,2021,90,6841,F M S,18,835,0.0,0.14888180047273636,0,0.14888180047273636,0,1.5890225917100906,3,12,1,0,1.7515804246068,1.4122577235102654,21.0,0.0,49.21375,12.6,-1.3762204456143081,-1.3818805101327598,0.0891157174293134,0.0,0.13249098999466558,0.056393386593754,0.2598109959660592,0.16167210905566315,0.10022585590751756,2.0,49.21375,12.6,-1.3762204456143081,-1.3818805101327598,0.0891157174293134,0.0,0.13249098999466558,0.056393386593754,0.2598109959660592,0.16167210905566315,0.10022585590751756,2.0,3,0,0,1,0
1185,ENG-Premier League,2122,Chelsea,kenedy,1,2021,80,689,D,1,59,0.0,0.05356460064649582,0,0.05356460064649582,1,0.7482360005378723,1,2,0,0,0.5048699975013733,0.36315199732780457,4.0,1.0,86.58035714285714,12.991666666666667,-0.602175930282101,-0.602175930282101,0.04516520102818807,0.0,0.0,0.0,0.0,0.015673902275939955,0.00602434690439219,0.0,86.58035714285714,12.991666666666667,-0.602175930282101,-0.602175930282101,0.04516520102818807,0.0,0.0,0.0,0.0,0.015673902275939955,0.00602434690439219,0.0,1,1,0,0,0
346,ENG-Premier League,1920,Norwich,kenny mclean,1,2019,79,7693,M S,37,2955,1.0,1.2136972770094872,1,1.2136972770094872,1,2.622597675770521,30,24,5,0,8.084727596491575,6.269313354045153,21.0,0.0,37.46623563218391,4.861111111111111,-0.6236678524874151,-0.6161047355271876,0.03903606297469444,0.0,0.0,0.0,0.0,0.030199373693228924,0.04258685773832575,0.0,37.46623563218391,4.861111111111111,-0.6236678524874151,-0.6161047355271876,0.03903606297469444,0.0,0.0,0.0,0.0,0.030199373693228924,0.04258685773832575,0.0,2,0,1,0,0
1432,ENG-Premier League,2122,Norwich,kenny mclean,1,2021,79,7693,M S,31,2710,1.0,1.9170859884470701,1,1.9170859884470701,0,1.0888230931013823,33,10,3,0,5.813929988071322,3.868613997474313,21.0,0.0,79.86486486486487,32.833333333333336,-0.21369727700948715,-0.21369727700948715,0.04045657590031624,0.0,0.03045685279187817,0.03045685279187817,0.06091370558375634,0.036965399299781335,0.0798760713432646,1.0,37.46623563218391,4.861111111111111,-0.6236678524874151,-0.6161047355271876,0.03903606297469444,0.0,0.0,0.0,0.0,0.030199373693228924,0.04258685773832575,0.0,2,0,1,0,0
713,ENG-Premier League,2021,Fulham,kenny tete,1,2020,228,5973,D S,22,1483,0.0,0.2111262995749712,0,0.2111262995749712,1,0.9065475072711706,7,19,3,0,3.743922509253025,2.7555710561573505,21.0,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,1,1,0,0,0
1809,ENG-Premier League,2223,Fulham,kenny tete,1,2022,228,5973,D S,31,2589,1.0,0.7199479946866632,1,0.7199479946866632,5,2.3401720114052296,13,23,8,0,6.9487364469096065,4.787528486922383,21.0,0.0,67.4090909090909,16.477777777777778,-0.2111262995749712,-0.2111262995749712,0.0301608999392816,0.0,0.0,0.060687795010114634,0.060687795010114634,0.012812789589849905,0.05501636928820321,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,1,1,0,0,0
2401,ENG-Premier League,2324,Fulham,kenny tete,1,2023,228,5973,D S,14,880,1.0,1.1781789623200893,1,1.1781789623200893,0,0.16147804353386164,4,3,2,0,1.8050313368439674,1.7335399203002453,10.0,0.0,83.51612903225806,28.766666666666666,0.28005200531333685,0.28005200531333685,0.05538061497589716,0.0,0.03476245654692932,0.17381228273464658,0.20857473928157588,0.025027160881344025,0.08135012785881447,1.0,67.4090909090909,16.477777777777778,-0.2111262995749712,-0.2111262995749712,0.0301608999392816,0.0,0.0,0.060687795010114634,0.060687795010114634,0.012812789589849905,0.05501636928820321,0.0,1,1,0,0,0
2938,ENG-Premier League,2425,Fulham,kenny tete,1,2024,228,5973,D S,22,1790,0.0,1.595350006595254,0,1.595350006595254,2,0.6750296298414469,25,9,5,0,7.372500399127603,6.540642708539963,14.0,0.0,62.857142857142854,9.777777777777779,-0.17817896232008934,-0.17817896232008934,0.29454474058002234,0.0,0.10227272727272727,0.0,0.10227272727272727,0.12049557569182731,0.016514799906872213,1.0,83.51612903225806,28.766666666666666,0.28005200531333685,0.28005200531333685,0.05538061497589716,0.0,0.03476245654692932,0.17381228273464658,0.20857473928157588,0.025027160881344025,0.08135012785881447,1.0,1,1,0,0,0
