Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def
407;Alex Palmer;eng ENG;GK;Ipswich Town;27;1996;13;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;3;0.23;3;0;0;0;0;0;0;0;0;0;0;0;0;0
408;Cole Palmer;eng ENG;MF,FW;Chelsea;22;2002;35.5;15;121;44;36.4;3.41;1.24;0.09;0.25;20.4;12;4;5;17.3;13.3;0.11;-2.3;-2.3;202;5.7;134;21;16;21;8;2;15;0.42;11;0;2;1;1;0
409;Emerson Palmieri;it ITA;DF;West Ham;29;1994;23.5;2;16;7;43.8;0.68;0.3;0.13;0.29;19;3;0;0;2;2;0.12;0;0;41;1.75;25;11;0;2;2;1;2;0.09;1;1;0;0;0;0
410;Lucas Paquetá;br BRA;MF,FW;West Ham;26;1997;26.4;4;39;3;7.7;1.47;0.11;0.05;0.67;19.5;4;2;2;5.3;3.7;0.1;-1.3;-1.7;82;3.1;68;2;2;4;5;1;6;0.23;3;0;0;2;1;0
411;Thomas Partey;gh GHA;MF,DF;Arsenal;31;1993;31.1;4;26;9;34.6;0.84;0.29;0.15;0.44;19.2;0;0;0;2.3;2.3;0.09;1.7;1.7;62;2;52;2;1;2;1;4;13;0.42;8;2;0;1;1;1
412;Nathan Patterson;sct SCO;DF;Everton;22;2001;3.9;0;1;0;0;0.26;0;0;;16.8;0;0;0;0.1;0.1;0.07;-0.1;-0.1;11;2.85;8;1;2;0;0;0;1;0.26;1;0;0;0;0;0
413;Andreas Pereira;br BRA;MF;Fulham;28;1996;22.4;2;38;8;21.1;1.7;0.36;0.05;0.25;21.8;6;0;1;3.8;3;0.08;-1.8;-1;104;4.65;54;41;0;4;4;1;8;0.36;4;2;0;0;2;0
414;Ricardo Pereira;pt POR;DF;Leicester City;30;1993;4.3;0;2;1;50;0.46;0.23;0;0;17;0;0;0;0.1;0.1;0.05;-0.1;-0.1;3;0.7;3;0;0;0;0;0;0;0;0;0;0;0;0;0
415;Kalvin Phillips;eng ENG;MF;Ipswich Town;28;1995;13.7;0;11;2;18.2;0.8;0.15;0;0;24.3;3;0;0;0.4;0.4;0.04;-0.4;-0.4;17;1.24;13;3;0;1;0;0;3;0.22;3;0;0;0;0;0
416;Jaden Philogene Bidace;eng ENG;FW,MF;Aston Villa;22;2002;3.7;0;7;0;0;1.9;0;0;;16;0;0;0;0.5;0.5;0.07;-0.5;-0.5;5;1.36;3;0;0;0;1;1;0;0;0;0;0;0;0;0
417;Jaden Philogene Bidace;eng ENG;FW,DF;Ipswich Town;22;2002;5.3;2;12;5;41.7;2.28;0.95;0.17;0.4;16.4;0;0;0;2;2;0.17;0;0;9;1.71;6;0;1;1;1;0;0;0;0;0;0;0;0;0
418;Jordan Pickford;eng ENG;GK;Everton;30;1994;38;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;13;0.34;12;1;0;0;0;0;2;0.05;2;0;0;0;0;0
419;Ethan Pinnock;jm JAM;DF;Brentford;31;1993;21.3;2;10;6;60;0.47;0.28;0.2;0.33;11.1;0;0;0;1.1;1.1;0.11;0.9;0.9;21;0.99;13;5;0;2;1;0;0;0;0;0;0;0;0;0
420;Daniel Podence;pt POR;MF,FW;Wolves;28;1995;0.5;0;1;0;0;1.87;0;0;;24.4;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421;Alfie Pond;eng ENG;DF;Wolves;20;2004;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
422;Nick Pope;eng ENG;GK;Newcastle Utd;32;1992;28;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;7;0.25;6;1;0;0;0;0;0;0;0;0;0;0;0;0
423;Pedro Porro;es ESP;DF;Tottenham;24;1999;29;2;39;8;20.5;1.34;0.28;0.05;0.25;23;4;0;0;1.6;1.6;0.04;0.4;0.4;108;3.72;72;23;3;5;4;1;8;0.28;4;3;1;0;0;0
424;Jarell Quansah;eng ENG;DF;Liverpool;21;2003;5.5;0;1;0;0;0.18;0;0;;8.9;0;0;0;0.1;0.1;0.1;-0.1;-0.1;3;0.55;3;0;0;0;0;0;0;0;0;0;0;0;0;0
425;Aaron Ramsdale;eng ENG;GK;Southampton;26;1998;30;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;3;0.1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
426;Jacob Ramsey;eng ENG;FW,MF;Aston Villa;23;2001;18;1;19;4;21.1;1.05;0.22;0.05;0.25;16.8;0;0;0;1.6;1.6;0.08;-0.6;-0.6;51;2.83;40;0;4;1;6;0;8;0.44;7;0;0;0;1;0
427;Marcus Rashford;eng ENG;FW,MF;Manchester Utd;26;1997;10.9;4;16;9;56.3;1.47;0.83;0.25;0.44;16.4;0;0;0;1.7;1.7;0.11;2.3;2.3;29;2.67;24;1;2;2;0;0;1;0.09;1;0;0;0;0;0
428;Marcus Rashford;eng ENG;FW;Aston Villa;26;1997;4.9;2;18;5;27.8;3.65;1.01;0.06;0.2;19.4;2;1;1;3.1;2.3;0.13;-1.1;-1.3;27;5.49;14;5;3;2;3;0;3;0.61;2;0;0;1;0;0
429;David Raya;es ESP;GK;Arsenal;28;1995;38;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;5;0.13;4;1;0;0;0;0;1;0.03;1;0;0;0;0;0
430;Harrison Reed;eng ENG;MF;Fulham;29;1995;1.2;0;3;2;66.7;2.5;1.67;0;0;21.7;0;0;0;0.2;0.2;0.08;-0.2;-0.2;1;0.89;0;1;0;0;0;0;0;0;0;0;0;0;0;0
431;Remy Rees-Dottin;eng ENG;FW;Bournemouth;18;2006;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
432;Sergio Reguilón;es ESP;DF;Tottenham;27;1996;2.2;0;2;0;0;0.92;0;0;;13.3;1;0;0;0.1;0.1;0.06;-0.1;-0.1;1;0.46;1;0;0;0;0;0;0;0;0;0;0;0;0;0
433;Vitor Reis;br BRA;DF;Manchester City;18;2006;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
434;Chadi Riad;ma MAR;DF;Crystal Palace;21;2003;1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
435;Declan Rice;eng ENG;MF;Arsenal;25;1999;31.4;4;48;14;29.2;1.53;0.45;0.08;0.29;19.6;2;0;0;3.5;3.5;0.07;0.5;0.5;111;3.54;62;33;4;5;5;2;10;0.32;6;2;1;1;0;0
436;Chris Richards;us USA;DF;Crystal Palace;24;2000;21.4;1;12;6;50;0.56;0.28;0.08;0.17;10.8;0;0;0;1.4;1.4;0.12;-0.4;-0.4;9;0.42;5;0;0;2;1;1;2;0.09;0;0;0;2;0;0
437;Richarlison;br BRA;FW;Tottenham;27;1997;5.6;4;17;7;41.2;3.04;1.25;0.24;0.57;9.1;0;0;0;3.7;3.7;0.22;0.3;0.3;8;1.43;5;0;0;2;1;0;1;0.18;1;0;0;0;0;0
438;Andrew Robertson;sct SCO;DF;Liverpool;30;1994;27.6;0;15;2;13.3;0.54;0.07;0;0;14.9;0;0;0;1.2;1.2;0.08;-1.2;-1.2;80;2.9;68;9;1;1;0;1;4;0.14;4;0;0;0;0;0
439;Antonee Robinson;us USA;DF;Fulham;26;1997;35.2;0;16;2;12.5;0.45;0.06;0;0;22.1;0;0;0;0.7;0.7;0.04;-0.7;-0.7;80;2.27;74;1;2;2;0;1;11;0.31;11;0;0;0;0;0
